championship_name,event,round,player_a,state_a,score_a,player_b,state_b,score_b,winner
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Smaran Sarvesh L R,Tamil Nadu,0,Indra Indra,Services Sports Control Board,6,Indra Indra
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Rahul,Services Sports Control Board,6,Takhellambam Meitei,Manipur,0,Rahul
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Juyel Sarkar,West Bengal,6,Jayanta Talukdar,Assam,2,Juyel Sarkar
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Goldi Mishra,Jharkhand,4,Tarun Rai,Sikkim,6,Tarun Rai
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Indra Indra,Services Sports Control Board,6,Rahul,Services Sports Control Board,4,Indra Indra
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Juyel Sarkar,West Bengal,6,Tarun Rai,Sikkim,2,Juyel Sarkar
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Juyel Sarkar,West Bengal,6,Indra Indra,Services Sports Control Board,4,Juyel Sarkar
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Juyel Sarkar,West Bengal,,,,,
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Rahul,Services Sports Control Board,2,Tarun Rai,Sikkim,6,Tarun Rai
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Tarun Rai,Sikkim,,,,,
38th National Games Uttarakhand,Compound Men Individual,Round 1,Abhishek Verma,Delhi,149,Prince Rajput,Uttar Pradesh,147,Abhishek Verma
38th National Games Uttarakhand,Compound Men Individual,Round 1,Prathmesh Fuge,Maharashtra,147,Siddharth Dudhwal,Rajasthan,145,Prathmesh Fuge
38th National Games Uttarakhand,Compound Men Individual,Round 1,Ojas Deotale,Maharashtra,147,Deepak Kumar,Jharkhand,145,Ojas Deotale
38th National Games Uttarakhand,Compound Men Individual,Round 1,Sahil Jadhav,Maharashtra,146,Toman Kumar,Chhattisgarh,142,Sahil Jadhav
38th National Games Uttarakhand,Compound Men Individual,Round 1,Madhur,Delhi,147(9,Thirumuru Mani Ratnam,Andhra Pradesh,147(1,
38th National Games Uttarakhand,Compound Men Individual,Round 1,Jasmeet Singh,Rajasthan,145,Chinnaraju Srither,Tamil Nadu,139,Jasmeet Singh
38th National Games Uttarakhand,Compound Men Individual,Round 1,Rohit Dagar,Haryana,145,Hritik Sharma,Jammu and Kashmir,147,Hritik Sharma
38th National Games Uttarakhand,Compound Men Individual,Round 1,Mohit Dagar,Haryana,147,Kunderu Venkatadri,Services Sports Control Board,145,Mohit Dagar
