winner,event_name,country,score_a,player_b,player_a,championship_name,score_b,round_name
"Federico Musolesi, Alessandro Paoli, Mauro Nespoli",Recurve Men,ITA,0,"Federico Musolesi, Alessandro Paoli, Mauro Nespoli","Jack Williams, Jackson Mirich, Brady Ellison",World Archery Championship 2023,6,1/8 Eliminations
"Arif Pangestu, Alviyanto Bagas Prastyadi, Riau Ega Agata Salsabilla",Recurve Men,INA,5,"Florian Unruh, Moritz Wieser, Maximilian Weckmueller","Arif Pangestu, Alviyanto Bagas Prastyadi, Riau Ega Agata Salsabilla",World Archery Championship 2023,3,1/8 Eliminations
"Xiangshuo Qi, Dapeng Wang, Zhongyuan Li",Recurve Men,CHN,6,"Peter Boukouvalas, Jai Crawley, Ryan Tyack","Xiangshuo Qi, Dapeng Wang, Zhongyuan Li",World Archery Championship 2023,0,1/8 Eliminations
"Junya Nakanishi, Takaharu Furukawa, Fumiya Saito",Recurve Men,JPN,6,"Yu-Hsuan Tai, Yu-Yang Su, Chih-Chun Tang","Junya Nakanishi, Takaharu Furukawa, Fumiya Saito",World Archery Championship 2023,0,1/8 Eliminations
"Mete Gazoz, Berkim Tumer, Abdullah Yildirmis",Recurve Men,TUR,5,"Miguel Alvarino Garcia, Pablo Acha, Andres Temiño Mediel","Mete Gazoz, Berkim Tumer, Abdullah Yildirmis",World Archery Championship 2023,4,1/8 Eliminations
"Gijs Broeksma, Senna Roos, Steve Wijler",Recurve Men,NED,0,"Gijs Broeksma, Senna Roos, Steve Wijler","Carlos Rojas, Caleb Urbina, Matias Grande",World Archery Championship 2023,6,1/8 Eliminations
"Woo Seok Lee, Je Deok Kim, Woojin Kim",Recurve Men,KOR,0,,"Woo Seok Lee, Je Deok Kim, Woojin Kim",World Archery Championship 2023,0,1/12 Eliminations
"Marcus D’Almeida, Matheus Zwick Ely, Matheus Gomes",Recurve Men,BRA,2,"Marcus D’Almeida, Matheus Zwick Ely, Matheus Gomes","Den Habjan Malavasic, Ziga Ravnikar, Miha Rozic",World Archery Championship 2023,6,1/12 Eliminations
"Tushar Prabhakar Shelke, Dhiraj Bommadevara, Mrinal Chauhan",Recurve Men,IND,5,"Khairul Anuar Mohamad, Muhamad Zarif Syahiir Zolkepeli, Muhammad Syafiq Busthamin","Tushar Prabhakar Shelke, Dhiraj Bommadevara, Mrinal Chauhan",World Archery Championship 2023,4,1/12 Eliminations
"Nicolas Bernardi, Baptiste Addis, Jean-Charles Valladont",Recurve Men,FRA,0,"Nicolas Bernardi, Baptiste Addis, Jean-Charles Valladont",,World Archery Championship 2023,0,1/12 Eliminations
"Jack Williams, Jackson Mirich, Brady Ellison",Recurve Men,USA,0,,"Jack Williams, Jackson Mirich, Brady Ellison",World Archery Championship 2023,0,1/12 Eliminations
"Federico Musolesi, Alessandro Paoli, Mauro Nespoli",Recurve Men,ITA,4,"Federico Musolesi, Alessandro Paoli, Mauro Nespoli","Itay Shanny, Niv Frenkel, Roy Dror",World Archery Championship 2023,5,1/12 Eliminations
"Arif Pangestu, Alviyanto Bagas Prastyadi, Riau Ega Agata Salsabilla",Recurve Men,INA,6,"Florian Faber, Thomas Rufer, Keziah Chabin","Arif Pangestu, Alviyanto Bagas Prastyadi, Riau Ega Agata Salsabilla",World Archery Championship 2023,0,1/12 Eliminations
"Florian Unruh, Moritz Wieser, Maximilian Weckmueller",Recurve Men,GER,0,"Florian Unruh, Moritz Wieser, Maximilian Weckmueller",,World Archery Championship 2023,0,1/12 Eliminations
"Xiangshuo Qi, Dapeng Wang, Zhongyuan Li",Recurve Men,CHN,0,,"Xiangshuo Qi, Dapeng Wang, Zhongyuan Li",World Archery Championship 2023,0,1/12 Eliminations
"Peter Boukouvalas, Jai Crawley, Ryan Tyack",Recurve Men,AUS,1,"Peter Boukouvalas, Jai Crawley, Ryan Tyack","Gantugs Jantsan, Otgonbold Baatarkhuyag, Dashnamjil Dorjsuren",World Archery Championship 2023,5,1/12 Eliminations
"Junya Nakanishi, Takaharu Furukawa, Fumiya Saito",Recurve Men,JPN,5,"Alex Wise, James Woodgate, Monty Orton","Junya Nakanishi, Takaharu Furukawa, Fumiya Saito",World Archery Championship 2023,4,1/12 Eliminations
"Yu-Hsuan Tai, Yu-Yang Su, Chih-Chun Tang",Recurve Men,TPE,0,"Yu-Hsuan Tai, Yu-Yang Su, Chih-Chun Tang",,World Archery Championship 2023,0,1/12 Eliminations
"Mete Gazoz, Berkim Tumer, Abdullah Yildirmis",Recurve Men,TUR,0,,"Mete Gazoz, Berkim Tumer, Abdullah Yildirmis",World Archery Championship 2023,0,1/12 Eliminations
"Miguel Alvarino Garcia, Pablo Acha, Andres Temiño Mediel",Recurve Men,ESP,6,"Eric Peters, Crispin Duenas, Devaang Gupta","Miguel Alvarino Garcia, Pablo Acha, Andres Temiño Mediel",World Archery Championship 2023,0,1/12 Eliminations
"Carlos Rojas, Caleb Urbina, Matias Grande",Recurve Men,MEX,1,"Carlos Rojas, Caleb Urbina, Matias Grande","Sanzhar Mussayev, Ilfat Abdullin, Dauletkeldi Zhangbyrbay",World Archery Championship 2023,5,1/12 Eliminations
"Gijs Broeksma, Senna Roos, Steve Wijler",Recurve Men,NED,0,"Gijs Broeksma, Senna Roos, Steve Wijler",,World Archery Championship 2023,0,1/12 Eliminations
"Michelle Kroppen, Charline Schwarz, Katharina Bauer",Recurve Women,GER,3,"Michelle Kroppen, Charline Schwarz, Katharina Bauer","Audrey Adiceom, Caroline Lopez, Lisa Barbelin",World Archery Championship 2023,5,Gold Medal Match
"Angela Ruiz, Aida Roman, Alejandra Valencia",Recurve Women,MEX,3,"Angela Ruiz, Aida Roman, Alejandra Valencia","Laura van der Winkel, Quinty Roeffen, Gaby Schloesser",World Archery Championship 2023,5,Bronze Medal Match
"Audrey Adiceom, Caroline Lopez, Lisa Barbelin",Recurve Women,FRA,6,"Laura van der Winkel, Quinty Roeffen, Gaby Schloesser","Audrey Adiceom, Caroline Lopez, Lisa Barbelin",World Archery Championship 2023,0,Semifinals
"Michelle Kroppen, Charline Schwarz, Katharina Bauer",Recurve Women,GER,6,"Angela Ruiz, Aida Roman, Alejandra Valencia","Michelle Kroppen, Charline Schwarz, Katharina Bauer",World Archery Championship 2023,0,Semifinals
"Audrey Adiceom, Caroline Lopez, Lisa Barbelin",Recurve Women,FRA,3,"Audrey Adiceom, Caroline Lopez, Lisa Barbelin","Diananda Choirunisa, Alpriani Eka Setiowati, Anindya Nayla Putri",World Archery Championship 2023,5,Quarterfinals
"Laura van der Winkel, Quinty Roeffen, Gaby Schloesser",Recurve Women,NED,6,"Ankita Bhakat, Simranjeet Kaur, Bhajan Kaur","Laura van der Winkel, Quinty Roeffen, Gaby Schloesser",World Archery Championship 2023,2,Quarterfinals
"Michelle Kroppen, Charline Schwarz, Katharina Bauer",Recurve Women,GER,5,"Catalina Gnoriega, Casey Kaufhold, Jennifer Mucino","Michelle Kroppen, Charline Schwarz, Katharina Bauer",World Archery Championship 2023,3,Quarterfinals
"Angela Ruiz, Aida Roman, Alejandra Valencia",Recurve Women,MEX,6,"Qixuan An, Mengyao Zhang, Ligan Hai","Angela Ruiz, Aida Roman, Alejandra Valencia",World Archery Championship 2023,0,Quarterfinals
"Diananda Choirunisa, Alpriani Eka Setiowati, Anindya Nayla Putri",Recurve Women,INA,3,"Diananda Choirunisa, Alpriani Eka Setiowati, Anindya Nayla Putri","Chaeyoung Kang, San An, Sihyeon Lim",World Archery Championship 2023,5,1/8 Eliminations
"Audrey Adiceom, Caroline Lopez, Lisa Barbelin",Recurve Women,FRA,4,"Audrey Adiceom, Caroline Lopez, Lisa Barbelin","Bryony Pitman, Louisa Piper, Penny Healey",World Archery Championship 2023,5,1/8 Eliminations
"Laura van der Winkel, Quinty Roeffen, Gaby Schloesser",Recurve Women,NED,3,"Laura van der Winkel, Quinty Roeffen, Gaby Schloesser","Tatiana Andreoli, Chiara Rebagliati, Lucilla Boari",World Archery Championship 2023,5,1/8 Eliminations
"Ankita Bhakat, Simranjeet Kaur, Bhajan Kaur",Recurve Women,IND,6,"Solomiia Hnyp, Veronika Marchenko, Anastasia Pavlova","Ankita Bhakat, Simranjeet Kaur, Bhajan Kaur",World Archery Championship 2023,0,1/8 Eliminations
"Michelle Kroppen, Charline Schwarz, Katharina Bauer",Recurve Women,GER,5,"Elia Canales, Leyre Fernandez Infante, Irati Unamunzaga Altuna","Michelle Kroppen, Charline Schwarz, Katharina Bauer",World Archery Championship 2023,1,1/8 Eliminations
"Catalina Gnoriega, Casey Kaufhold, Jennifer Mucino",Recurve Women,USA,6,"Yi-Ching Chiu, Tzu Ying Kuo, Chien-Ying Lei","Catalina Gnoriega, Casey Kaufhold, Jennifer Mucino",World Archery Championship 2023,2,1/8 Eliminations
"Angela Ruiz, Aida Roman, Alejandra Valencia",Recurve Women,MEX,5,"Tomomi Sugimoto, Azusa Yamauchi, Satsuki Tokugawa","Angela Ruiz, Aida Roman, Alejandra Valencia",World Archery Championship 2023,3,1/8 Eliminations
"Qixuan An, Mengyao Zhang, Ligan Hai",Recurve Women,CHN,2,"Qixuan An, Mengyao Zhang, Ligan Hai","Thi Anh Nguyet Do, Nhi Nguyen Thi Thanh, Thi Mai Hoang",World Archery Championship 2023,6,1/8 Eliminations
"Chaeyoung Kang, San An, Sihyeon Lim",Recurve Women,KOR,0,,"Chaeyoung Kang, San An, Sihyeon Lim",World Archery Championship 2023,0,1/12 Eliminations
"Diananda Choirunisa, Alpriani Eka Setiowati, Anindya Nayla Putri",Recurve Women,INA,5,"Kirstine Danstrup Andersen, Nanna Jakobsen, Randi Degn","Diananda Choirunisa, Alpriani Eka Setiowati, Anindya Nayla Putri",World Archery Championship 2023,3,1/12 Eliminations
"Bryony Pitman, Louisa Piper, Penny Healey",Recurve Women,GBR,6,"Syaqiera Mashayikh, Nurul Izzah Mazlan, Ku Nurin Afiqah Ku Ruzaini","Bryony Pitman, Louisa Piper, Penny Healey",World Archery Championship 2023,0,1/12 Eliminations
"Audrey Adiceom, Caroline Lopez, Lisa Barbelin",Recurve Women,FRA,0,"Audrey Adiceom, Caroline Lopez, Lisa Barbelin",,World Archery Championship 2023,0,1/12 Eliminations
"Tatiana Andreoli, Chiara Rebagliati, Lucilla Boari",Recurve Women,ITA,0,,"Tatiana Andreoli, Chiara Rebagliati, Lucilla Boari",World Archery Championship 2023,0,1/12 Eliminations
"Laura van der Winkel, Quinty Roeffen, Gaby Schloesser",Recurve Women,NED,4,"Laura van der Winkel, Quinty Roeffen, Gaby Schloesser","Ane Marcelle Dos Santos, Marina Canetta, Sarah Nikitin",World Archery Championship 2023,5,1/12 Eliminations
"Ankita Bhakat, Simranjeet Kaur, Bhajan Kaur",Recurve Women,IND,6,"Alua Mukhtarkhanova, Alina Timraliyeva, Medina Murat","Ankita Bhakat, Simranjeet Kaur, Bhajan Kaur",World Archery Championship 2023,2,1/12 Eliminations
"Solomiia Hnyp, Veronika Marchenko, Anastasia Pavlova",Recurve Women,UKR,0,"Solomiia Hnyp, Veronika Marchenko, Anastasia Pavlova",,World Archery Championship 2023,0,1/12 Eliminations
"Michelle Kroppen, Charline Schwarz, Katharina Bauer",Recurve Women,GER,0,,"Michelle Kroppen, Charline Schwarz, Katharina Bauer",World Archery Championship 2023,0,1/12 Eliminations
"Elia Canales, Leyre Fernandez Infante, Irati Unamunzaga Altuna",Recurve Women,ESP,2,"Elia Canales, Leyre Fernandez Infante, Irati Unamunzaga Altuna","Anatoli Martha Gkorila, Dimitra Papadopoulou, Evangelia Psarra",World Archery Championship 2023,6,1/12 Eliminations
"Catalina Gnoriega, Casey Kaufhold, Jennifer Mucino",Recurve Women,USA,5,"Tsiko Putkaradze, Medea Gvinchidze, Salome Kharshiladze","Catalina Gnoriega, Casey Kaufhold, Jennifer Mucino",World Archery Championship 2023,4,1/12 Eliminations
"Yi-Ching Chiu, Tzu Ying Kuo, Chien-Ying Lei",Recurve Women,TPE,0,"Yi-Ching Chiu, Tzu Ying Kuo, Chien-Ying Lei",,World Archery Championship 2023,0,1/12 Eliminations
"Angela Ruiz, Aida Roman, Alejandra Valencia",Recurve Women,MEX,0,,"Angela Ruiz, Aida Roman, Alejandra Valencia",World Archery Championship 2023,0,1/12 Eliminations
"Tomomi Sugimoto, Azusa Yamauchi, Satsuki Tokugawa",Recurve Women,JPN,0,"Tomomi Sugimoto, Azusa Yamauchi, Satsuki Tokugawa","Gulnaz Coskun, Ezgi Basaran, Fatma Marasli",World Archery Championship 2023,6,1/12 Eliminations
"Thi Anh Nguyet Do, Nhi Nguyen Thi Thanh, Thi Mai Hoang",Recurve Women,VIE,0,"Thi Anh Nguyet Do, Nhi Nguyen Thi Thanh, Thi Mai Hoang","Magdalena Smialkowska-Zawisza, Karina Kozłowska, Natalia Lesniak",World Archery Championship 2023,6,1/12 Eliminations
"Qixuan An, Mengyao Zhang, Ligan Hai",Recurve Women,CHN,0,"Qixuan An, Mengyao Zhang, Ligan Hai",,World Archery Championship 2023,0,1/12 Eliminations
"Lukasz Przybylski, Przemyslaw Konecki, Rafal Dobrowolski",Compound Men,POL,233,"Mathias Fullerton, Martin Damsbo, Tore Bjarnarson","Lukasz Przybylski, Przemyslaw Konecki, Rafal Dobrowolski",World Archery Championship 2023,233,Gold Medal Match
"Sil Pater, Jay Tjin-A-Djie, Mike Schloesser",Compound Men,NED,231,"Sil Pater, Jay Tjin-A-Djie, Mike Schloesser","Jongho Kim, Jaewon Yang, Yonghee Choi",World Archery Championship 2023,235,Bronze Medal Match
"Lukasz Przybylski, Przemyslaw Konecki, Rafal Dobrowolski",Compound Men,POL,229,"Lukasz Przybylski, Przemyslaw Konecki, Rafal Dobrowolski","Jongho Kim, Jaewon Yang, Yonghee Choi",World Archery Championship 2023,233,Semifinals
"Mathias Fullerton, Martin Damsbo, Tore Bjarnarson",Compound Men,DEN,227,"Mathias Fullerton, Martin Damsbo, Tore Bjarnarson","Sil Pater, Jay Tjin-A-Djie, Mike Schloesser",World Archery Championship 2023,227,Semifinals
"Jongho Kim, Jaewon Yang, Yonghee Choi",Compound Men,KOR,236,"Federico Pagnoni, Elia Fregnan, Marco Bruno","Jongho Kim, Jaewon Yang, Yonghee Choi",World Archery Championship 2023,230,Quarterfinals
"Lukasz Przybylski, Przemyslaw Konecki, Rafal Dobrowolski",Compound Men,POL,235,"Chieh-Lun Chen, Cheng-Jui Yang, Yu Ping Pan","Lukasz Przybylski, Przemyslaw Konecki, Rafal Dobrowolski",World Archery Championship 2023,232,Quarterfinals
"Sil Pater, Jay Tjin-A-Djie, Mike Schloesser",Compound Men,NED,230,"Sil Pater, Jay Tjin-A-Djie, Mike Schloesser","Prathamesh Samadhan Jawkar, Ojas Pravin Deotale, Abhishek Verma",World Archery Championship 2023,235,Quarterfinals
"Mathias Fullerton, Martin Damsbo, Tore Bjarnarson",Compound Men,DEN,229,"Mathias Fullerton, Martin Damsbo, Tore Bjarnarson","Stas Modic, Tim Jevsnik, Aljaz Matija Brenk",World Archery Championship 2023,233,Quarterfinals
"Jongho Kim, Jaewon Yang, Yonghee Choi",Compound Men,KOR,231,"Patrick Roux, Seppie Cilliers, Hendre Verhoef","Jongho Kim, Jaewon Yang, Yonghee Choi",World Archery Championship 2023,218,1/8 Eliminations
"Federico Pagnoni, Elia Fregnan, Marco Bruno",Compound Men,ITA,236,"Nico Wiener, Stefan Heincz, Michael Matzner","Federico Pagnoni, Elia Fregnan, Marco Bruno",World Archery Championship 2023,232,1/8 Eliminations
"Lukasz Przybylski, Przemyslaw Konecki, Rafal Dobrowolski",Compound Men,POL,233,"Miguel Angel Veliz, Douglas Vladimir Nolasco, Roberto Hernandez","Lukasz Przybylski, Przemyslaw Konecki, Rafal Dobrowolski",World Archery Championship 2023,230,1/8 Eliminations
"Chieh-Lun Chen, Cheng-Jui Yang, Yu Ping Pan",Compound Men,TPE,229,"Emircan Haney, Batuhan Akcaoglu, Yakup Yıldız","Chieh-Lun Chen, Cheng-Jui Yang, Yu Ping Pan",World Archery Championship 2023,227,1/8 Eliminations
"Prathamesh Samadhan Jawkar, Ojas Pravin Deotale, Abhishek Verma",Compound Men,IND,233,"Jean Philippe Boulch, Adrien Gontier, Nicolas Girard","Prathamesh Samadhan Jawkar, Ojas Pravin Deotale, Abhishek Verma",World Archery Championship 2023,230,1/8 Eliminations
"Sil Pater, Jay Tjin-A-Djie, Mike Schloesser",Compound Men,NED,230,"Sawyer Sullivan, Nick Kappers, Kris Schaff","Sil Pater, Jay Tjin-A-Djie, Mike Schloesser",World Archery Championship 2023,228,1/8 Eliminations
"Stas Modic, Tim Jevsnik, Aljaz Matija Brenk",Compound Men,SLO,226,"Stas Modic, Tim Jevsnik, Aljaz Matija Brenk","Sebastian Arenas, Jagdeep Singh Mejia, Daniel Munoz",World Archery Championship 2023,230,1/8 Eliminations
"Mathias Fullerton, Martin Damsbo, Tore Bjarnarson",Compound Men,DEN,227,"Mathias Fullerton, Martin Damsbo, Tore Bjarnarson","Bailey Wildman, Brandon Hawes, Robert Timms",World Archery Championship 2023,233,1/8 Eliminations
"Jongho Kim, Jaewon Yang, Yonghee Choi",Compound Men,KOR,0,,"Jongho Kim, Jaewon Yang, Yonghee Choi",World Archery Championship 2023,0,1/12 Eliminations
"Patrick Roux, Seppie Cilliers, Hendre Verhoef",Compound Men,RSA,230,"Shamai Yamrom, Yiftach Hadar, Paz Carmi","Patrick Roux, Seppie Cilliers, Hendre Verhoef",World Archery Championship 2023,227,1/12 Eliminations
"Federico Pagnoni, Elia Fregnan, Marco Bruno",Compound Men,ITA,232,"Tristan Spicer-Moran, Cameron Palichuk, Andrew Fagan","Federico Pagnoni, Elia Fregnan, Marco Bruno",World Archery Championship 2023,232,1/12 Eliminations
"Nico Wiener, Stefan Heincz, Michael Matzner",Compound Men,AUT,0,"Nico Wiener, Stefan Heincz, Michael Matzner",,World Archery Championship 2023,0,1/12 Eliminations
"Lukasz Przybylski, Przemyslaw Konecki, Rafal Dobrowolski",Compound Men,POL,0,,"Lukasz Przybylski, Przemyslaw Konecki, Rafal Dobrowolski",World Archery Championship 2023,0,1/12 Eliminations
"Miguel Angel Veliz, Douglas Vladimir Nolasco, Roberto Hernandez",Compound Men,ESA,229,"Miguel Angel Veliz, Douglas Vladimir Nolasco, Roberto Hernandez","Alexander Kullberg, Joakim Limås, Jacob Benschjöld",World Archery Championship 2023,234,1/12 Eliminations
"Chieh-Lun Chen, Cheng-Jui Yang, Yu Ping Pan",Compound Men,TPE,234,"Leon Hollas, Sebastian Hamdorf, Florian Grafmans","Chieh-Lun Chen, Cheng-Jui Yang, Yu Ping Pan",World Archery Championship 2023,224,1/12 Eliminations
"Emircan Haney, Batuhan Akcaoglu, Yakup Yıldız",Compound Men,TUR,0,"Emircan Haney, Batuhan Akcaoglu, Yakup Yıldız",,World Archery Championship 2023,0,1/12 Eliminations
"Prathamesh Samadhan Jawkar, Ojas Pravin Deotale, Abhishek Verma",Compound Men,IND,0,,"Prathamesh Samadhan Jawkar, Ojas Pravin Deotale, Abhishek Verma",World Archery Championship 2023,0,1/12 Eliminations
"Jean Philippe Boulch, Adrien Gontier, Nicolas Girard",Compound Men,FRA,225,"Jean Philippe Boulch, Adrien Gontier, Nicolas Girard","Mohd Juwaidi Mazuki, Alang Ariff Aqil Muhammad Ghazalli, Mohamad Syafiq Md Ariffin",World Archery Championship 2023,237,1/12 Eliminations
"Sil Pater, Jay Tjin-A-Djie, Mike Schloesser",Compound Men,NED,237,"Jozef Bosansky, Simon Sedivy, Matus Durny Jr","Sil Pater, Jay Tjin-A-Djie, Mike Schloesser",World Archery Championship 2023,231,1/12 Eliminations
"Sawyer Sullivan, Nick Kappers, Kris Schaff",Compound Men,USA,0,"Sawyer Sullivan, Nick Kappers, Kris Schaff",,World Archery Championship 2023,0,1/12 Eliminations
"Sebastian Arenas, Jagdeep Singh Mejia, Daniel Munoz",Compound Men,COL,0,,"Sebastian Arenas, Jagdeep Singh Mejia, Daniel Munoz",World Archery Championship 2023,0,1/12 Eliminations
"Stas Modic, Tim Jevsnik, Aljaz Matija Brenk",Compound Men,SLO,223,"Stas Modic, Tim Jevsnik, Aljaz Matija Brenk","Adam Carpenter, Kai Thomas-Prause, Dillon Crow",World Archery Championship 2023,227,1/12 Eliminations
"Bailey Wildman, Brandon Hawes, Robert Timms",Compound Men,AUS,230,"Miguel Becerra, Sebastian Garcia, Juan Del Rio","Bailey Wildman, Brandon Hawes, Robert Timms",World Archery Championship 2023,227,1/12 Eliminations
"Mathias Fullerton, Martin Damsbo, Tore Bjarnarson",Compound Men,DEN,0,"Mathias Fullerton, Martin Damsbo, Tore Bjarnarson",,World Archery Championship 2023,0,1/12 Eliminations
"Jyothi Surekha Vennam, Parneet Kaur, Aditi Gopichand Swami",Compound Women,IND,229,"Jyothi Surekha Vennam, Parneet Kaur, Aditi Gopichand Swami","Andrea Becerra, Dafne Quintero, Ana Sofía Hernández",World Archery Championship 2023,235,Gold Medal Match
"Yun Soo Song, Chaewon So, Yoohyun Oh",Compound Women,KOR,230,"Juliana Gallego Lopez, Alejandra Usquiano, Sara Lopez","Yun Soo Song, Chaewon So, Yoohyun Oh",World Archery Championship 2023,225,Bronze Medal Match
"Andrea Becerra, Dafne Quintero, Ana Sofía Hernández",Compound Women,MEX,224,"Yun Soo Song, Chaewon So, Yoohyun Oh","Andrea Becerra, Dafne Quintero, Ana Sofía Hernández",World Archery Championship 2023,222,Semifinals
"Jyothi Surekha Vennam, Parneet Kaur, Aditi Gopichand Swami",Compound Women,IND,216,"Jyothi Surekha Vennam, Parneet Kaur, Aditi Gopichand Swami","Juliana Gallego Lopez, Alejandra Usquiano, Sara Lopez",World Archery Championship 2023,220,Semifinals
"Andrea Becerra, Dafne Quintero, Ana Sofía Hernández",Compound Women,MEX,233,"Jennifer Walter, Julia Böhnke, Katharina Raab","Andrea Becerra, Dafne Quintero, Ana Sofía Hernández",World Archery Championship 2023,227,Quarterfinals
"Yun Soo Song, Chaewon So, Yoohyun Oh",Compound Women,KOR,230,"Yun Soo Song, Chaewon So, Yoohyun Oh","Isabelle Carpenter, Ella Gibson, Layla Annison",World Archery Championship 2023,233,Quarterfinals
"Juliana Gallego Lopez, Alejandra Usquiano, Sara Lopez",Compound Women,COL,235,"Alexis Ruiz, Olivia Dean, Liko Arreola","Juliana Gallego Lopez, Alejandra Usquiano, Sara Lopez",World Archery Championship 2023,225,Quarterfinals
"Jyothi Surekha Vennam, Parneet Kaur, Aditi Gopichand Swami",Compound Women,IND,226,"Jyothi Surekha Vennam, Parneet Kaur, Aditi Gopichand Swami","Li Ju Chen, Yi-Hsuan Chen, Lu-Yun Wang",World Archery Championship 2023,228,Quarterfinals
"Andrea Becerra, Dafne Quintero, Ana Sofía Hernández",Compound Women,MEX,231,"Kanyavee Maneesombatkul, Kanoknapus Kaewchomphu, Nichaphat Bunyapalin","Andrea Becerra, Dafne Quintero, Ana Sofía Hernández",World Archery Championship 2023,227,1/8 Eliminations
"Jennifer Walter, Julia Böhnke, Katharina Raab",Compound Women,GER,226,"Jennifer Walter, Julia Böhnke, Katharina Raab","Lisell Jaatma, Maris Tetsmann, Meeri-Marita Paas",World Archery Championship 2023,229,1/8 Eliminations
"Isabelle Carpenter, Ella Gibson, Layla Annison",Compound Women,GBR,234,"Kseniya Markitantova, Malgorzata Kapusta, Sandra Jankowska","Isabelle Carpenter, Ella Gibson, Layla Annison",World Archery Championship 2023,225,1/8 Eliminations
"Yun Soo Song, Chaewon So, Yoohyun Oh",Compound Women,KOR,227,"Yun Soo Song, Chaewon So, Yoohyun Oh","Sandra Herve, Tiphaine Renaudin, Sophie Dodémont",World Archery Championship 2023,229,1/8 Eliminations
"Juliana Gallego Lopez, Alejandra Usquiano, Sara Lopez",Compound Women,COL,230,"Marcella Tonioli, Andrea Nicole Moccia, Elisa Roner","Juliana Gallego Lopez, Alejandra Usquiano, Sara Lopez",World Archery Championship 2023,229,1/8 Eliminations
"Alexis Ruiz, Olivia Dean, Liko Arreola",Compound Women,USA,227,"Alexis Ruiz, Olivia Dean, Liko Arreola","Viktoriya Lyan, Adel Zhexenbinova, Roxana Yunussova",World Archery Championship 2023,233,1/8 Eliminations
"Li Ju Chen, Yi-Hsuan Chen, Lu-Yun Wang",Compound Women,TPE,228,"Sofia Paiz, Paola Corado, Camila Alvarenga","Li Ju Chen, Yi-Hsuan Chen, Lu-Yun Wang",World Archery Championship 2023,226,1/8 Eliminations
"Jyothi Surekha Vennam, Parneet Kaur, Aditi Gopichand Swami",Compound Women,IND,228,"Jyothi Surekha Vennam, Parneet Kaur, Aditi Gopichand Swami","Ipek Tomruk, Irmak Yuksel, Hazal Burun",World Archery Championship 2023,230,1/8 Eliminations
"Andrea Becerra, Dafne Quintero, Ana Sofía Hernández",Compound Women,MEX,0,,"Andrea Becerra, Dafne Quintero, Ana Sofía Hernández",World Archery Championship 2023,0,1/12 Eliminations
"Kanyavee Maneesombatkul, Kanoknapus Kaewchomphu, Nichaphat Bunyapalin",Compound Women,THA,226,"Martine Stas-Couwenberg, Veerle Sparreboom, Sanne de Laat","Kanyavee Maneesombatkul, Kanoknapus Kaewchomphu, Nichaphat Bunyapalin",World Archery Championship 2023,224,1/12 Eliminations
"Lisell Jaatma, Maris Tetsmann, Meeri-Marita Paas",Compound Women,EST,0,,"Lisell Jaatma, Maris Tetsmann, Meeri-Marita Paas",World Archery Championship 2023,0,1/12 Eliminations
"Jennifer Walter, Julia Böhnke, Katharina Raab",Compound Women,GER,0,"Jennifer Walter, Julia Böhnke, Katharina Raab",,World Archery Championship 2023,0,1/12 Eliminations
"Isabelle Carpenter, Ella Gibson, Layla Annison",Compound Women,GBR,0,,"Isabelle Carpenter, Ella Gibson, Layla Annison",World Archery Championship 2023,0,1/12 Eliminations
"Kseniya Markitantova, Malgorzata Kapusta, Sandra Jankowska",Compound Women,POL,0,"Kseniya Markitantova, Malgorzata Kapusta, Sandra Jankowska",,World Archery Championship 2023,0,1/12 Eliminations
"Sandra Herve, Tiphaine Renaudin, Sophie Dodémont",Compound Women,FRA,0,,"Sandra Herve, Tiphaine Renaudin, Sophie Dodémont",World Archery Championship 2023,0,1/12 Eliminations
"Yun Soo Song, Chaewon So, Yoohyun Oh",Compound Women,KOR,0,"Yun Soo Song, Chaewon So, Yoohyun Oh",,World Archery Championship 2023,0,1/12 Eliminations
"Juliana Gallego Lopez, Alejandra Usquiano, Sara Lopez",Compound Women,COL,0,,"Juliana Gallego Lopez, Alejandra Usquiano, Sara Lopez",World Archery Championship 2023,0,1/12 Eliminations
"Marcella Tonioli, Andrea Nicole Moccia, Elisa Roner",Compound Women,ITA,190,"Marcella Tonioli, Andrea Nicole Moccia, Elisa Roner","Astrid Daxbock, Ewa Ploszaj, Anna Maria Alfreðsdóttir",World Archery Championship 2023,222,1/12 Eliminations
"Viktoriya Lyan, Adel Zhexenbinova, Roxana Yunussova",Compound Women,KAZ,0,,"Viktoriya Lyan, Adel Zhexenbinova, Roxana Yunussova",World Archery Championship 2023,0,1/12 Eliminations
"Alexis Ruiz, Olivia Dean, Liko Arreola",Compound Women,USA,0,"Alexis Ruiz, Olivia Dean, Liko Arreola",,World Archery Championship 2023,0,1/12 Eliminations
"Li Ju Chen, Yi-Hsuan Chen, Lu-Yun Wang",Compound Women,TPE,0,,"Li Ju Chen, Yi-Hsuan Chen, Lu-Yun Wang",World Archery Championship 2023,0,1/12 Eliminations
"Sofia Paiz, Paola Corado, Camila Alvarenga",Compound Women,ESA,0,"Sofia Paiz, Paola Corado, Camila Alvarenga",,World Archery Championship 2023,0,1/12 Eliminations
