event_name,state_name,player_name,score
Indian Round Women Individual,PUNJAB,LACHMI DEVI,586.0
Indian Round Women Individual,MAHARASHTRA,SHREYA PATIL,583.0
Indian Round Women Individual,PUNJAB,DISHA RANI,575.0
Indian Round Women Individual,RAJASTHAN,NEHA KUMAWAT,574.0
Indian Round Women Individual,HARYANA,KAJAL,571.0
Indian Round Women Individual,UTTARAKHAND,MANSI RANA,555.0
Indian Round Women Individual,JAMMU AND KASHMIR,RITA DEVI,545.0
Indian Round Women Individual,BIHAR,SONI KUMARI,534.0
Indian Round Women Individual,MADHYA PRADESH,ARPANA PATEL,528.0
Recurve Women Team,JHARKHAND,,
Recurve Women Team,DEEPIKA KUMARI,,674.0
Recurve Women Team,MAHARASHTRA,,
Recurve Women Team,SHARVARI SHENDE,,650.0
Recurve Women Team,WEST BENGAL,,
Recurve Women Team,RIMIL HEMBRAM,,620.0
Recurve Women Team,HARYANA,,
Recurve Women Team,BHAVNA,,617.0
Recurve Women Team,GUJARAT,,
Recurve Women Team,BHAGORA BHARGAVIBEN,,660.0
Recurve Women Team,ASSAM,,
Recurve Women Team,PROMILA DAIMARY,,639.0
Recurve Women Team,MADHYA PRADESH,,
Recurve Women Team,JAHNVI DESHMUKH,,635.0
Recurve Women Team,UTTARAKHAND,,
Recurve Women Team,RAKHI PANCHAL,,604.0
Compound Women Team,MAHARASHTRA,,
Compound Women Team,ADITI SWAMI,,2100.0
Compound Women Team,PUNJAB,,
Compound Women Team,AVNEET KAUR,,2090.0
Compound Women Team,DELHI,,
Compound Women Team,SAMIKSHA MANAKTALA,,2079.0
Compound Women Team,TELANGANA,,
Compound Women Team,B MANASANAYANA,,2073.0
Compound Women Team,RAJASTHAN,,
Compound Women Team,SWATI DUDHWAL,,2069.0
Compound Women Team,UTTAR PRADESH,,
Compound Women Team,VARENYA,,2058.0
Compound Women Team,UTTARAKHAND,,
Compound Women Team,BHARTI RAI,,1949.0
Indian Round Women Team,MANIPUR,,
Indian Round Women Team,LAIPHRAKPAM DEVI,,650.0
Indian Round Women Team,HARYANA,,
Indian Round Women Team,NIKITA,,656.0
Indian Round Women Team,JHARKHAND,,
Indian Round Women Team,CHANDMUNI KUNKAL,,610.0
Indian Round Women Team,ASSAM,,
Indian Round Women Team,PALLABI BORO,,601.0
Indian Round Women Team,CHHATTISGARH,,
Indian Round Women Team,CHANDNI SAHU,,625.0
Indian Round Women Team,UTTARAKHAND,,
Indian Round Women Team,PUSHPA,,630.0
Indian Round Women Team,KERALA,,
Indian Round Women Team,ARCHA RAJAN,,592.0
Indian Round Women Team,PUNJAB,,
Indian Round Women Team,MANJOT KAUR,,587.0
