event_name,name,state/unit
COMPOUND (MEN),Sahil Rajesh jadhav,Maharashtra
COMPOUND (MEN),Uday kamboj,Punjab
COMPOUND (MEN),Rishabh Yadav,Haryana
COMPOUND (MEN),Sukhmandeep Singh,Punjab
COMPOUND (MEN),Kulwinder singh,RSPB
COMPOUND (MEN),SIMRANJOT SINGH,RSPB
COMPOUND (MEN),Vishesh vaidwan,Uttar Pradesh
COMPOUND (MEN),Hritik Sharma,Jammu & Kashmir
COMPOUND (MEN),RAJAT CHAUHAN,AIPCB
COMPOUND (MEN),Gurnoor singh,Punjab
COMPOUND (MEN),Kawalpreet Singh,Punjab
COMPOUND (MEN),Tejraj,Rajasthan
COMPOUND (MEN),Mohit Dagar,Haryana
COMPOUND (MEN),OJAS PRAVIN DEOTALE,Maharashtra
COMPOUND (MEN),Mohan Ramswaroop Bhardwaj,Uttarakhand
COMPOUND (MEN),Abhishek Tiwari,Uttar Pradesh
COMPOUND (MEN),Sagar chopra,RSPB
COMPOUND (MEN),Siddharth dudhwal,Rajasthan
COMPOUND (MEN),THIRUMURU GANESH MANI RATNA,Andhra Pradesh
COMPOUND (MEN),Sarvesh pareek,AIPCB
COMPOUND (MEN),Deepak kumar,Jharkhand
COMPOUND (MEN),Rohit dagar,Haryana
COMPOUND (MEN),RAHUL,Delhi
COMPOUND (MEN),Chirag Vidyarthi,Madhya Pradesh
COMPOUND (MEN),Tejbeer Singh Jahagirdar,Maharashtra
COMPOUND (MEN),Kulwinder singh,RSPB
COMPOUND (MEN),SIMRANJOT SINGH,RSPB
COMPOUND (MEN),Uday kamboj,Punjab
COMPOUND (MEN),Sukhmandeep Singh,Punjab
COMPOUND (MEN),Gurnoor singh,Punjab
COMPOUND (MEN),Kawalpreet Singh,Punjab
COMPOUND (MEN),Jasmeet Singh,Rajasthan
COMPOUND (MEN),Tejraj,Rajasthan
COMPOUND (MEN),Siddharth dudhwal,Rajasthan
COMPOUND (MEN),Yashwant saini,Rajasthan
COMPOUND (MEN),Rishabh Yadav,Haryana
COMPOUND (MEN),Mohit Dagar,Haryana
COMPOUND (MEN),Rohit dagar,Haryana
COMPOUND (MEN),KUSHAL DALAL,Haryana
COMPOUND (MEN),Vishesh vaidwan,Uttar Pradesh
COMPOUND (MEN),Abhishek Tiwari,Uttar Pradesh
COMPOUND (MEN),Dil Bharath V,Tamilnadu
COMPOUND (MEN),V PRASANNA NARAYANAN,Tamilnadu
COMPOUND (MEN),MUTUM BIKRAM SINGH,Manipur
COMPOUND (MEN),RAMAKANTA SHANGLAKPAM,Manipur
COMPOUND (MEN),Ngasepam Pradip Singh,Manipur
COMPOUND (MEN),Gurumayum Robert Sharma,Manipur
COMPOUND (MEN),KARRI BUDDESWARARAO,Andhra Pradesh
COMPOUND (MEN),DAGGOLU JYOTHI PRAKASH REDDY,Andhra Pradesh
COMPOUND (MEN),BATTULA RAVI TEJA,Andhra Pradesh
COMPOUND (MEN),Naveen,Chandigarh
COMPOUND (MEN),Harsh kumar,Chandigarh
COMPOUND (MEN),Akashdeep,Chandigarh
COMPOUND (MEN),Anurag kamal,Chandigarh
COMPOUND (MEN),Nishant Patel,Chhattisgarh
COMPOUND (MEN),Mohammad Aamir Khan,Chhattisgarh
COMPOUND (MEN),BHANU YADAV,Chhattisgarh
COMPOUND (MEN),Ravinder yadav,ESIC CSCB
COMPOUND (MEN),Sunil Rana,ESIC CSCB
COMPOUND (MEN),Prince Rajput,ESIC CSCB
COMPOUND (MEN),Ajay singh shekhawat,ESIC CSCB
COMPOUND (MEN),saurabh pandey,Goa
COMPOUND (MEN),Asem Roshan Singh,Goa
COMPOUND (MEN),Sunendu Roy,Goa
